tapt/run_id,tapt/run_name,tapt/duration_s,tapt/avg_epoch_time_s,tapt/train/avg_epoch_loss,tapt/train/gpu_mem_peak_mb,tapt/stage,dataset,arch,pretrain/run_id,pretrain/run_name,pretrain/duration_s,pretrain/avg_epoch_time_s,pretrain/train/avg_epoch_loss,pretrain/train/gpu_mem_peak_mb,pretrain/stage,finetune/run_id,finetune/run_name,finetune/duration_s,finetune/avg_epoch_time_s,finetune/test/f1_macro,finetune/train/gpu_mem_peak_mb,finetune/stage,finetune/train/gpu_mem_peak_gb,tapt/train/gpu_mem_peak_gb,pretrain/train/gpu_mem_peak_gb,finetune/duration_min,tapt/duration_min,pretrain/duration_min,pretrain/avg_epoch_time_min,tapt/avg_epoch_time_min,finetune/avg_epoch_time_min,finetune_tapt/duration_min,finetune_tapt/train/gpu_mem_peak_gb,finetune_tapt/train/gpu_mem_peak_gb_pct_vs_mha,finetune_tapt/duration_min_pct_vs_mha,finetune/test/f1_macro_pp_vs_mha,finetune/test/f1_macro_pp_vs_baseline,pretrain/train/gpu_mem_peak_gb_pct_vs_mha,pretrain/avg_epoch_time_min_pct_vs_mha
71eagzdx,E2_pretraining_hyperpartisan_bertsmall_favor_nb0.25,6335.581790308,1055.9302983846667,3.913812128811678,18786.67919921875,tapt,hyperpartisan,favor_nb0.25,0itox8yh,E2_pretraining_wikipedia_bertsmall_favor_nb0.25,7271.608264293,727.1608264293,2.694387582411862,18842.97607421875,pretrain,3klrqv94,E2_finetuning_hyperpartisan_bertsmall_favor_nb0.25,4820.846867653,688.6924096647143,56.98782424563261,7519.0263671875,finetune,7.342799186706543,18.34636640548706,18.401343822479248,80.34744779421666,105.59302983846666,121.19347107155,12.119347107154999,17.59883830641111,11.478206827745238,185.94047763268333,18.34636640548706,27.05639268681847,7.972558380225225,-7.562275324078371,14.757824245632605,27.43928940431475,53.78088464843478
pu4bht10,E2_pretraining_hyperpartisan_bertsmall_favor_nb0.5,8143.261959573,1357.2103265955,3.665451918225904,22377.15576171875,tapt,hyperpartisan,favor_nb0.5,yjcapkj3,E2_pretraining_wikipedia_bertsmall_favor_nb0.5,9173.221722392,917.3221722392,2.666425063559006,22493.97607421875,pretrain,3jtkh8iw,E2_finetuning_hyperpartisan_bertsmall_favor_nb0.5,6889.461540481,984.2087914972857,59.30131503086338,11114.3388671875,finetune,10.853846549987793,21.852691173553467,21.966773509979248,114.82435900801667,135.72103265955,152.88702870653333,15.288702870653333,22.620172109925,16.403479858288094,250.54539166756666,21.852691173553467,51.33918344617678,45.48756286494404,-5.248784538847602,17.071315030863374,52.13182437238476,93.99644484050545
vyeowm82,E2_pretraining_hyperpartisan_bertsmall_favor_nb1,11534.012030619,1922.3353384365,3.2678270935776763,29563.59912109375,tapt,hyperpartisan,favor_nb1,noug0x9s,E2_pretraining_wikipedia_bertsmall_favor_nb1,13037.930544947,1303.7930544946998,2.5787582328125622,29795.48779296875,pretrain,k2j8xkd0,E2_finetuning_hyperpartisan_bertsmall_favor_nb1,10759.819212797,1537.1170303995714,55.022921166726235,18797.06787109375,finetune,18.35651159286499,28.870702266693115,29.097156047821045,179.33032021328333,192.23353384365,217.29884241578333,21.72988424157833,32.038922307275,25.61861717332619,371.56385405693334,28.870702266693115,99.94189602820138,115.76098133616892,-9.527178402984745,12.79292116672623,101.51359195250183,175.72779230039262
i1bylyot,E2_pretraining_hyperpartisan_bertsmall_lsh_h2_c128,7766.640232298,1294.4400387163334,2.439533261556565,21849.90185546875,tapt,hyperpartisan,lsh_h2_c128,hu06m597,E2_pretraining_wikipedia_bertsmall_lsh_h2_c128,10888.843224079,1088.8843224079,2.277830253350321,21848.34521484375,pretrain,yjqias1k,E2_finetuning_hyperpartisan_bertsmall_lsh_h2_c128,6567.803231792,938.2576045417143,61.254074881302536,12168.060546875,finetune,11.882871627807617,21.3377947807312,21.33627462387085,109.46338719653333,129.44400387163333,181.4807204013167,18.14807204013167,21.574000645272225,15.637626742361904,238.90739106816665,21.3377947807312,47.773306866938405,38.72956850488792,-3.296024688408444,19.024074881302532,47.7652775162954,130.2786237838942
2g7hhgqh,E2_pretraining_hyperpartisan_bertsmall_lsh_h2_c64,6697.284041052,1116.2140068420001,2.557152977205466,19545.52685546875,tapt,hyperpartisan,lsh_h2_c64,eudij3yf,E2_pretraining_wikipedia_bertsmall_lsh_h2_c64,7647.912501086,764.7912501086,2.3447094036548393,19543.76513671875,pretrain,ys8qnftm,E2_finetuning_hyperpartisan_bertsmall_lsh_h2_c64,5297.502927412,756.7861324874285,65.36555091024938,9382.26318359375,finetune,9.162366390228271,19.0874285697937,19.085708141326904,88.29171545686667,111.6214006842,127.46520835143333,12.746520835143334,18.603566780700003,12.61310220812381,199.91311614106667,19.0874285697937,32.188563454176936,16.08623833996209,0.8154513405384023,23.13555091024938,32.17888360618335,61.73901389958583
o9riawb7,E2_pretraining_hyperpartisan_bertsmall_lsh_h4_c128,11807.380705133,1967.8967841888334,2.263041076645245,29574.90185546875,tapt,hyperpartisan,lsh_h4_c128,0e2zxgor,E2_pretraining_wikipedia_bertsmall_lsh_h4_c128,17036.511550402,1703.6511550402,2.248215781539997,29574.15185546875,pretrain,gyaw279z,E2_finetuning_hyperpartisan_bertsmall_lsh_h4_c128,11314.827481306,1616.403925900857,55.679921792453754,21965.08447265625,finetune,21.45027780532837,28.8817400932312,28.8810076713562,188.58045802176667,196.78967841888334,283.94185917336665,28.394185917336664,32.79827973648056,26.940065431680953,385.37013644065,28.8817400932312,100.01833767294104,123.77806104720703,-8.870177777257226,13.44992179245375,100.01664717671181,260.2902854941983
m6psyu6o,E2_pretraining_hyperpartisan_bertsmall_lsh_h4_c64,9655.740007806,1609.290001301,2.3514540267384634,24966.90185546875,tapt,hyperpartisan,lsh_h4_c64,wi223o9o,E2_pretraining_wikipedia_bertsmall_lsh_h4_c64,10765.664537115,1076.5664537115001,2.2858271348377306,24964.15185546875,pretrain,16tul7l4,E2_finetuning_hyperpartisan_bertsmall_lsh_h4_c64,8770.437606333,1252.9196580475714,62.4688198332967,16397.189453125,finetune,16.012880325317383,24.3817400932312,24.3790545463562,146.17396010555,160.9290001301,179.42774228525002,17.942774228525003,26.821500021683335,20.881994300792858,307.10296023565,24.3817400932312,68.85392318050607,78.32960700621166,-2.081279736414281,20.238819833296695,68.8381793041282,127.6736254447822
vi5hkih4,E1_pretraining_hyperpartisan_bertsmall_mha,5994.33138355,999.0552305916667,1.8870499555086087,14786.09521484375,tapt,hyperpartisan,mha,hd228t3k,E1_pretraining_wikipedia_bertsmall_mha,4728.551458731,472.8551458731,2.1568171624250945,14785.84521484375,pretrain,ulsu61q4,E1_finetuning_hyperpartisan_bertsmall_mha_f1_d0.1_mean,4338.320565544,619.7600807919999,64.55009956971098,3518.3349609375,finetune,3.4358739852905273,14.43954610824585,14.43930196762085,72.30534275906666,99.90552305916667,78.80919097885,7.880919097885,16.650920509861113,10.329334679866665,172.21086581823334,14.43954610824585,0.0,0.0,0.0,22.320099569710976,0.0,0.0
mzlsnnzy,E2_pretraining_imdb_bertsmall_favor_nb0.125,1365.717009993,91.04780066619999,3.199573562950145,17015.66943359375,tapt,imdb,favor_nb0.125,z28fmtgo,E2_pretraining_wikipedia_bertsmall_favor_nb0.125,6593.419116918,659.3419116918001,3.0694842641878104,17017.97607421875,pretrain,d659uj2j,E2_finetuning_imdb_bertsmall_favor_nb0.125,452.629664021,56.578708002625,91.15948937210614,5633.7392578125,finetune,5.5016984939575195,16.616864681243896,16.619117259979248,7.543827733683333,22.761950166549997,109.8903186153,10.989031861530002,1.5174633444366665,0.9429784667104166,30.30577790023333,16.616864681243896,15.092479148212194,27.841234629746175,-1.7004280885397094,1.6594893721061368,15.096403532847264,39.438455401466115
1qxi1tf7,E2_pretraining_imdb_bertsmall_favor_nb0.25,1540.193663824,102.67957758826667,2.8658467641091545,18840.78271484375,tapt,imdb,favor_nb0.25,0itox8yh,E2_pretraining_wikipedia_bertsmall_favor_nb0.25,7271.608264293,727.1608264293,2.694387582411862,18842.97607421875,pretrain,if2ozrk2,E2_finetuning_imdb_bertsmall_favor_nb0.25,535.890603711,66.986325463875,90.9773924664228,7456.0009765625,finetune,7.281250953674316,18.3992018699646,18.401343822479248,8.93151006185,25.669894397066667,121.19347107155,12.119347107154999,1.7113262931377777,1.11643875773125,34.60140445891667,18.3992018699646,27.437383536791764,45.96181231556686,-1.882524994223047,1.477392466422799,27.43928940431475,53.78088464843478
